sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,peak_x_um,peak_y_um,peak_intensity_counts,total_power_mW
0,2026-06-25T15:34:23.529147,0.0,0.0,-647.2041770283249,98.62940992519725,-715.9499788284302,-1406.0999584197998,255.0,0.0008351120073804836
1,2026-06-25T15:34:25.569831,2.0,0.0,-646.053066222521,98.34596266795415,-644.9999809265137,-1406.0999584197998,255.0,0.0008352741342218347
2,2026-06-25T15:34:27.140945,4.0,2.03,-644.3665550419246,98.6762574579916,-644.9999809265137,-1406.0999584197998,255.0,0.0008350107857659837
3,2026-06-25T15:34:28.554842,6.0,4.01,-641.5718438208569,98.9325410197489,-644.9999809265137,-1406.0999584197998,255.0,0.0008350969700603438
4,2026-06-25T15:34:30.167255,8.0,6.01,-638.9751520031132,98.77900708874222,-348.2999897003174,-1425.4499578475952,255.0,0.0008351109070795844
5,2026-06-25T15:34:31.925090,10.0,8.01,-636.2331934660324,98.76640943286475,-644.9999809265137,-1406.0999584197998,255.0,0.0008350639622583472
6,2026-06-25T15:34:33.786810,12.0,10.01,-633.2947902326123,98.6668092160835,-715.9499788284302,-1406.0999584197998,255.0,0.0008350606615499039
7,2026-06-25T15:34:35.952486,14.0,14.01,-630.3335537479143,98.66877759981435,-644.9999809265137,-1406.0999584197998,255.0,0.0008350496592826529
8,2026-06-25T15:34:37.817437,16.0,14.01,-627.6199399365578,98.83805860066786,-715.9499788284302,-1406.0999584197998,255.0,0.0008349924498296502
9,2026-06-25T15:34:39.606289,18.0,16.01,-624.1603086912073,98.65617994393688,-715.9499788284302,-1406.0999584197998,255.0,0.000834998684002827
10,2026-06-25T15:34:41.209891,20.0,18.01,-620.9908172077849,98.453830096405,-644.9999809265137,-1406.0999584197998,255.0,0.0008349895161172016
11,2026-06-25T15:34:43.050127,22.0,20.01,-617.7599121519597,98.35226149589289,-638.5499811172485,-1406.0999584197998,255.0,0.0008350016177474868
12,2026-06-25T15:34:44.743564,24.0,22.01,-614.2093415782438,98.62074903678149,-644.9999809265137,-1406.0999584197998,255.0,0.0008350988038653762
13,2026-06-25T15:34:46.609885,26.0,24.01,-610.9552095943945,98.29990248865215,-644.9999809265137,-1406.0999584197998,255.0,0.0008350628620207498
14,2026-06-25T15:34:48.448536,28.0,26.01,-607.2522861199104,98.4971345384838,-644.9999809265137,-1406.0999584197998,255.0,0.000835106139125775
15,2026-06-25T15:34:50.271974,30.0,28.01,-603.8430454980698,98.56839002954075,-715.9499788284302,-1406.0999584197998,255.0,0.0008351186092163214
16,2026-06-25T15:34:52.109859,32.0,32.01,-599.9669042552705,98.48296217562165,-644.9999809265137,-1406.0999584197998,255.0,0.0008350122526582843
17,2026-06-25T15:34:53.972608,34.0,34.01,-596.3513770184363,98.33533339580754,-638.5499811172485,-1406.0999584197998,255.0,0.0008349898828306935
18,2026-06-25T15:34:55.859190,36.0,36.01,-592.2284004557878,97.8829988144571,-606.2999820709229,-1412.549958229065,255.0,0.0008350533266889632
19,2026-06-25T15:34:57.491214,38.0,38.02,-588.7648324429756,98.16802077868488,-335.3999900817871,-1444.7999572753906,255.0,0.0008349766812464328
20,2026-06-25T15:34:59.029760,40.0,40.02,-584.9138865119312,98.2518739256193,-335.3999900817871,-1444.7999572753906,255.0,0.0008349873158396292
21,2026-06-25T15:35:00.582514,42.0,40.02,-580.886179721856,98.11290603422094,-335.3999900817871,-1444.7999572753906,255.0,0.0008351453838633591
