sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW
0,2026-07-02T10:26:04.079397,0.0,0.0,-158.04979696200462,-149.93218245595926,1680.7914511513081,-1209.6155007291236,0.9734452366828918,0.971520721912384,24.0,7.469537052464937e-06
1,2026-07-02T10:26:04.894956,1.0,0.0,-181.1334266504855,-134.30223144110641,1661.955593554012,-1204.3636560968298,0.975853443145752,0.9688592553138733,21.0,7.36682882280045e-06
2,2026-07-02T10:26:05.311453,2.0,1.07,-189.12034047680208,-125.45749598488328,1668.9492609497393,-1201.050472601055,0.9751104116439819,0.9692504405975342,20.0,7.3362984342900685e-06
3,2026-07-02T10:26:05.742092,3.0,3.04,-182.42941049888032,-134.47092192684067,1669.160271685687,-1198.5748363827588,0.9750933051109314,0.9712144136428833,21.0,7.375122551586833e-06
4,2026-07-02T10:26:06.139126,4.0,4.04,-175.03104340808932,-128.85453262759256,1683.7786703012534,-1192.9905317383236,0.9749158024787903,0.9695958495140076,21.0,7.3920626713117595e-06
5,2026-07-02T10:26:06.549120,5.0,5.03,-154.69763946835883,-142.23442419970524,1683.533409688389,-1194.1408551906352,0.9773421287536621,0.9728667736053467,24.0,7.476462106286906e-06
6,2026-07-02T10:26:06.969766,6.0,5.03,-152.22849891637452,-145.87632777853287,1681.5402243225253,-1190.7400786188373,0.976953387260437,0.9754530787467957,24.0,7.483262118278246e-06
7,2026-07-02T10:26:07.366135,7.0,6.03,-180.96335829613963,-130.0934333477926,1682.2110494980006,-1187.9290298128035,0.9742156863212585,0.9677998423576355,21.0,7.372862054923743e-06
8,2026-07-02T10:26:07.766033,8.0,7.03,-173.1504495916306,-133.53948274540016,1665.8502376038814,-1193.1692609810852,0.974825918674469,0.9739381074905396,22.0,7.401450926698915e-06
9,2026-07-02T10:26:08.166105,9.0,8.03,-179.18236469646217,-128.64962388121057,1659.0368741579005,-1183.8808518319274,0.9744749069213867,0.9711602330207825,20.0,7.365625356833255e-06
10,2026-07-02T10:26:08.575659,10.0,9.03,-148.2165391961462,-148.5281343407405,1669.5531610783655,-1185.5457107914845,0.9737222790718079,0.9754605293273926,24.0,7.509857803456769e-06
11,2026-07-02T10:26:09.063931,11.0,10.03,-167.04334222828038,-139.59541213174816,1679.3021720205434,-1181.2497132988938,0.970744788646698,0.9733948111534119,23.0,7.428499659548709e-06
12,2026-07-02T10:26:09.465870,12.0,11.03,-160.04534438834526,-137.90732624416705,1671.4235192994238,-1178.5044085094705,0.9748896956443787,0.9771385192871094,23.0,7.45176482072383e-06
13,2026-07-02T10:26:09.867319,13.0,12.03,-157.06324303610018,-139.0430836568703,1679.246269922587,-1171.3438221733668,0.976781964302063,0.9710072875022888,23.0,7.4632542667075386e-06
14,2026-07-02T10:26:10.266671,14.0,13.03,-147.54138357646298,-143.33376651338767,1677.7168357637129,-1171.311934356927,0.9749523997306824,0.972327709197998,25.0,7.496920212339443e-06
15,2026-07-02T10:26:10.658058,15.0,14.03,-144.57857238478027,-148.77536333733588,1676.9078300503315,-1167.4570516584208,0.9707719087600708,0.9706524610519409,26.0,7.521278263451809e-06
16,2026-07-02T10:26:11.053754,16.0,15.03,-128.29570848640287,-154.55119171878323,1671.2518762380932,-1162.898274937761,0.971183180809021,0.9708197712898254,28.0,7.592920614268118e-06
17,2026-07-02T10:26:11.470285,17.0,16.03,-123.99636474146973,-157.3586974341015,1670.6282922721584,-1161.3741554149601,0.9695634245872498,0.9711920619010925,27.0,7.601996373364399e-06
18,2026-07-02T10:26:11.866276,18.0,17.03,-116.41454428696306,-156.28888087638188,1666.9119837883045,-1160.2143837207404,0.9701167345046997,0.9726334810256958,28.0,7.634584665131196e-06
19,2026-07-02T10:26:12.257963,19.0,18.03,-117.39086261746706,-151.89741677284474,1665.8128383129952,-1156.609682594426,0.9712737798690796,0.9714115262031555,28.0,7.615536706577189e-06
20,2026-07-02T10:26:12.657255,20.0,19.03,-127.71188587183133,-153.1359238162986,1662.5665798640694,-1153.8220575547894,0.9699451923370361,0.971266508102417,28.0,7.6062376663317245e-06
21,2026-07-02T10:26:13.176932,21.0,20.04,-133.37295748176984,-154.49765168130398,1664.0857784275431,-1149.8303721869888,0.9707861542701721,0.9727418422698975,28.0,7.581298142298281e-06
