sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW
0,2026-07-02T11:46:34.034446,95.0,75.56,-118.6880274961004,52.51805264619179,1593.3400987568893,395.507736717409,0.9786525964736938,0.9728257060050964,27.0,7.661341294770293e-06
1,2026-07-02T11:46:34.466516,95.5,95.07,-122.39055729383836,54.52659140515607,1584.3481281975983,401.58059420384234,0.9787267446517944,0.9729375839233398,26.0,7.656847330304018e-06
2,2026-07-02T11:46:34.900781,96.0,95.57,-127.16861196211539,52.397587561863475,1590.341069304559,401.8171939282911,0.9769253134727478,0.9746026992797852,26.0,7.63004607745042e-06
3,2026-07-02T11:46:35.301121,96.5,96.56,-136.01570947881555,52.67355496092932,1583.8052479646285,405.05046104459325,0.9815912246704102,0.9756156802177429,25.0,7.609772770639947e-06
4,2026-07-02T11:46:35.693197,97.0,97.06,-140.007198008243,54.01756737235701,1586.8932483615936,405.6315279219416,0.9779995679855347,0.9755412340164185,25.0,7.604654418868904e-06
5,2026-07-02T11:46:36.113604,97.5,97.57,-136.08893335360335,53.38453516451409,1589.6934710571077,407.94004836148815,0.9798707962036133,0.9760507345199585,25.0,7.604340480683841e-06
6,2026-07-02T11:46:36.511207,98.0,98.07,-132.62457798729884,53.84710534126498,1584.5626820242614,411.0839508564095,0.9792624115943909,0.9740036725997925,25.0,7.611316970454555e-06
7,2026-07-02T11:46:36.899683,98.5,98.56,-139.9489338498097,53.39201502269134,1585.3429493351723,412.3409607069334,0.9786132574081421,0.9748514890670776,25.0,7.593680960190618e-06
8,2026-07-02T11:46:37.303509,99.0,99.06,-136.1046804234502,55.32496784639079,1588.1317554050474,412.34056703018723,0.9797056317329407,0.9753581881523132,25.0,7.601415467068226e-06
9,2026-07-02T11:46:37.704532,99.5,99.57,-133.5469626035774,50.34535068407422,1590.037150856515,414.61286920908606,0.9772902727127075,0.9752680659294128,25.0,7.603378708201228e-06
10,2026-07-02T11:46:38.094227,100.0,100.07,-138.47815752611496,55.623374819988385,1591.0465380336973,419.2932920443127,0.9785056114196777,0.9730507731437683,25.0,7.594301298783459e-06
11,2026-07-02T11:46:38.507705,100.5,100.56,-138.0600728216814,54.55572348437272,1587.0904804114252,419.15432415291434,0.9775019884109497,0.9749112129211426,25.0,7.590280004149653e-06
12,2026-07-02T11:46:38.905663,101.0,101.07,-132.31632909504697,55.27300251589622,1589.5556841959478,422.4281399740721,0.9791309833526611,0.9759080410003662,25.0,7.603091535837378e-06
13,2026-07-02T11:46:39.304545,101.5,101.56,-140.76738780509913,53.858128290157765,1588.2463153381832,423.95285001199227,0.9769191145896912,0.9746952652931213,25.0,7.579640193181292e-06
14,2026-07-02T11:46:39.705043,102.0,102.07,-134.78704435401596,53.463270513748284,1588.3829211691045,427.54790605802555,0.9794028401374817,0.9741018414497375,25.0,7.59432798114991e-06
15,2026-07-02T11:46:40.094781,102.5,102.56,-146.33240228897193,53.121559098071884,1589.9721941933967,426.8947963361279,0.9779630899429321,0.9738916754722595,25.0,7.560975043082995e-06
16,2026-07-02T11:46:40.504360,103.0,103.07,-141.25790903082816,56.84613479359541,1584.577641740616,428.82263136212714,0.9790323376655579,0.9733914732933044,24.0,7.569872985017558e-06
17,2026-07-02T11:46:40.924557,103.5,103.57,-146.10879389714682,51.941709889797494,1586.926317208272,430.28710885788314,0.9774152040481567,0.9746270775794983,24.0,7.5592816993871385e-06
18,2026-07-02T11:46:41.342299,104.0,103.57,-151.74309548834572,52.67198025394464,1586.3826496218098,433.42589355510427,0.9782368540763855,0.9747201800346375,24.0,7.544105046950849e-06
19,2026-07-02T11:46:41.739938,104.5,104.07,-148.7330430871225,56.59418167604599,1584.5737049731542,433.44636474590516,0.9790831804275513,0.9741955399513245,24.0,7.549308634741453e-06
20,2026-07-02T11:46:42.138168,105.0,104.57,-146.25209223275306,51.140971388085745,1584.5878773360164,436.32374808366876,0.9792807698249817,0.9740361571311951,24.0,7.5506084343548484e-06
21,2026-07-02T11:46:42.529147,104.5,105.07,-143.06960941670695,55.867848079360556,1585.3779865655815,436.35484854661627,0.9779477119445801,0.974595308303833,24.0,7.5563740176557605e-06
22,2026-07-02T11:46:42.942001,104.0,104.56,-153.0788406881038,53.96245262789307,1587.870747722336,436.48909231706057,0.9794453382492065,0.9733072519302368,24.0,7.535945627913146e-06
23,2026-07-02T11:46:43.339838,103.5,104.07,-151.15691081329715,56.164286669227295,1590.2111559783225,434.8970635555452,0.9795183539390564,0.9745090007781982,24.0,7.538468011726432e-06
24,2026-07-02T11:46:43.750250,103.0,103.57,-145.57260616886197,53.09990687703248,1586.5401203202782,432.54996279487386,0.9779365062713623,0.9740465879440308,23.0,7.5431442672036254e-06
25,2026-07-02T11:46:44.135601,102.5,103.07,-146.24106928386027,52.63261257932754,1595.315174992429,434.5722802399541,0.9792680144309998,0.9714238047599792,24.0,7.542070989032487e-06
26,2026-07-02T11:46:44.529338,102.0,102.56,-145.3552966049756,53.85576622968074,1588.9041491810349,433.2396844541654,0.9775972962379456,0.9728192090988159,25.0,7.560975043082995e-06
27,2026-07-02T11:46:44.931856,101.5,102.07,-145.63244503427995,53.83844445284922,1586.675545120961,430.14735361299245,0.9781184792518616,0.9758939743041992,24.0,7.562456199651669e-06
