sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW
0,2026-07-02T11:56:00.892671,15.0,0.0,-91.38615147239761,8.386102046933956,1618.6192636587657,48.134855754324235,0.9801279902458191,0.9736146330833435,28.0,7.786798700943963e-06
1,2026-07-02T11:56:01.281799,15.5,15.05,-85.75499929516809,10.998540934524499,1619.7727365250466,49.819398551189806,0.9806088805198669,0.973614513874054,28.0,7.800387275117148e-06
2,2026-07-02T11:56:01.695467,16.0,15.55,-130.47943339741323,9.651379109127447,1624.871637741453,46.48023239016766,0.9804916977882385,0.9738582372665405,25.0,7.61046795602202e-06
3,2026-07-02T11:56:02.093891,16.5,16.05,-129.76451642636675,6.279931454919279,1627.786814046849,47.093187083955854,0.98151695728302,0.9738138318061829,24.0,7.598037742400559e-06
4,2026-07-02T11:56:02.491683,17.0,16.56,-132.22617712017382,5.081579439574853,1631.4936742887949,42.66983516397886,0.9813603162765503,0.972922146320343,24.0,7.581631107527803e-06
5,2026-07-02T11:56:02.895900,17.5,17.05,-142.5727893630392,8.158556887647137,1635.661530000507,42.65802486159373,0.9818559885025024,0.9738585352897644,24.0,7.5585646328553436e-06
6,2026-07-02T11:56:03.289271,18.0,17.56,-140.83391917520203,5.21897262398852,1633.2353002138552,40.5349261694937,0.9808392524719238,0.9729968905448914,23.0,7.560350785975166e-06
7,2026-07-02T11:56:03.694336,18.5,18.06,-139.1950428808923,5.676031326293014,1633.054996264109,41.203782961238176,0.9798312783241272,0.9732210636138916,23.0,7.568038049531682e-06
8,2026-07-02T11:56:04.092123,19.0,18.56,-111.069988780946,8.062499761581421,1632.9368932402576,42.838328811340034,0.9781234860420227,0.9730981588363647,26.0,7.671799286088521e-06
9,2026-07-02T11:56:04.486056,19.5,19.06,-106.45649099256843,4.95442185056163,1637.920840846782,43.94613517506514,0.9806484580039978,0.9734842777252197,26.0,7.693839320496826e-06
10,2026-07-02T11:56:04.873094,20.0,19.56,-95.15954308444634,7.963686898292508,1637.2610386201995,45.32990893785609,0.9813022613525391,0.9737867116928101,28.0,7.75968571096343e-06
11,2026-07-02T11:56:05.277198,20.5,20.07,-90.97515294939512,6.005145086091943,1637.5897587032523,44.40988638205454,0.9820868372917175,0.97381192445755,28.0,7.777454492439941e-06
12,2026-07-02T11:56:05.723773,21.0,20.56,-77.90665968350368,6.496453665313311,1637.994458398316,47.264830145286396,0.9818345904350281,0.9732609391212463,29.0,7.836668386700544e-06
13,2026-07-02T11:56:06.125181,21.5,21.07,-71.15825290064095,7.875896983896382,1637.5952701776987,46.26528488675831,0.9804602265357971,0.9738351702690125,29.0,7.858305404705757e-06
14,2026-07-02T11:56:06.543495,22.0,22.07,-79.68962166691199,8.49751256610034,1635.4953984136228,48.68679055245593,0.9809842109680176,0.9740599989891052,29.0,7.841157692581546e-06
15,2026-07-02T11:56:06.956891,22.5,22.57,-75.37531820562435,6.40236492297845,1635.8548252828768,48.93441322579747,0.980676531791687,0.9736605882644653,29.0,7.849454520959155e-06
16,2026-07-02T11:56:07.381006,23.0,22.57,-94.09937160700792,8.520345817378256,1638.399551770126,49.19423987827031,0.9812623858451843,0.9724211096763611,27.0,7.762814815945096e-06
17,2026-07-02T11:56:07.770311,23.5,23.07,-101.97290653042728,5.93074018106563,1642.8232973668491,49.80876927904319,0.9802621006965637,0.9727915525436401,27.0,7.711917932157793e-06
18,2026-07-02T11:56:08.177301,24.0,23.57,-124.41051267844159,6.793285931926221,1639.4274417543784,45.95546128752176,0.9807361960411072,0.9752163290977478,25.0,7.632774269682408e-06
19,2026-07-02T11:56:08.600770,24.5,24.07,-116.61964987171814,5.1197660839534365,1644.0212557054474,47.59709331905469,0.9827844500541687,0.9735976457595825,25.0,7.640729799462571e-06
20,2026-07-02T11:56:08.995090,25.0,24.57,-122.23505497910082,7.386163111659698,1649.81145328813,44.640187278564554,0.9814900159835815,0.9747456312179565,25.0,7.633350867560886e-06
21,2026-07-02T11:56:09.403072,24.5,25.08,-117.68021502590273,7.276720976224169,1649.288650569215,43.270192201889586,0.9822365045547485,0.974455714225769,25.0,7.638803881580262e-06
22,2026-07-02T11:56:09.797759,24.0,24.57,-103.90310361690354,9.288015472411644,1644.483038528706,45.743269521335606,0.9799772500991821,0.9736416935920715,26.0,7.702284707720992e-06
23,2026-07-02T11:56:10.184206,23.5,24.07,-106.80804432689911,4.741049054136965,1652.4471191037446,43.403648618841544,0.9813730716705322,0.974061906337738,27.0,7.702602689443155e-06
24,2026-07-02T11:56:10.578610,23.0,23.58,-93.83560818707338,4.6666441491106525,1649.3650238579721,43.74496635777177,0.9820278882980347,0.9740921854972839,28.0,7.754030618759961e-06
25,2026-07-02T11:56:10.977939,22.5,23.07,-92.65812103927601,8.97701084293658,1649.5268250006484,43.925270307518076,0.9813283085823059,0.9737362265586853,28.0,7.757225579889185e-06
26,2026-07-02T11:56:11.381528,22.0,22.57,-84.1968267338234,8.92858860315755,1644.6574373272597,44.13943045743508,0.9812346696853638,0.9740038514137268,28.0,7.800298204839806e-06
27,2026-07-02T11:56:11.784926,21.5,22.07,-81.00961979682324,7.160586336103734,1647.239169428649,45.47989977814723,0.9812067747116089,0.9733940362930298,28.0,7.803896082699288e-06
28,2026-07-02T11:56:12.167710,21.0,21.57,-91.37394749326631,5.037093967257533,1639.465628398757,49.89380345621612,0.9799059629440308,0.9732431769371033,27.0,7.76279436018247e-06
29,2026-07-02T11:56:12.585230,20.5,21.06,-101.48868413263699,8.030218268395402,1636.3831394762383,48.138398845039774,0.9794921278953552,0.9731125831604004,27.0,7.743372111643387e-06
30,2026-07-02T11:56:12.981749,20.0,20.56,-105.30695489374921,7.212551666598301,1635.6198002654128,48.033287153812125,0.9801630973815918,0.9722328782081604,26.0,7.703428150072456e-06
31,2026-07-02T11:56:13.388702,19.5,20.07,-106.78717945935205,6.8924924719613045,1634.9966099762241,48.71119851071853,0.9804605841636658,0.9731286764144897,26.0,7.697415138887162e-06
32,2026-07-02T11:56:13.786122,19.0,19.56,-125.09551021677908,7.490487449395005,1640.36596711725,48.521052642317954,0.9801879525184631,0.9717463850975037,26.0,7.636771122246041e-06
33,2026-07-02T11:56:14.206825,18.5,19.06,-127.03200613119407,5.066226046474185,1635.053693104419,47.29199384077219,0.9826295375823975,0.9734208583831787,25.0,7.6259120780116705e-06
34,2026-07-02T11:56:14.625424,18.0,18.56,-124.23572020314168,6.176394470676314,1640.5324923808803,48.48640908865491,0.9816895127296448,0.9727919101715088,25.0,7.622108366566049e-06
35,2026-07-02T11:56:15.059236,17.5,17.55,-142.70939519396052,6.824780071619898,1633.1868779740762,45.803502063499764,0.980324923992157,0.972267210483551,24.0,7.56068947226516e-06
36,2026-07-02T11:56:15.475928,17.0,17.55,-142.1102191862883,6.769271650409792,1636.0563877769164,43.6130846478045,0.980674147605896,0.9743678569793701,24.0,7.559613697670126e-06
37,2026-07-02T11:56:15.880113,16.5,17.05,-136.09050806058804,7.694805680657737,1638.0350071031717,41.9749957069871,0.9807665944099426,0.9745365977287292,24.0,7.567459738159678e-06
38,2026-07-02T11:56:16.269140,16.0,16.56,-154.0335067975684,4.732781842467375,1630.0744696188485,42.472603114147205,0.9787629842758179,0.9720763564109802,22.0,7.486213998343615e-06
