sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW,points_per_ramp,n_cycles
0,2026-07-06T14:27:13.523729,55.0,55.04,-114.43671231420012,23.313930584990885,1573.0405510173296,203.0340577167226,0.9793039560317993,0.973109781742096,24.0,7.629999163756263e-06,20,4
1,2026-07-06T14:27:13.976287,55.5,55.55,-125.67067194293486,25.315383162524085,1573.3688774236361,208.3833373436937,0.9791147708892822,0.9715263247489929,24.0,7.601301961827043e-06,20,4
2,2026-07-06T14:27:14.421912,56.0,56.04,-121.3118830093299,24.237496231507976,1570.5899132724153,211.53235763631528,0.9800629615783691,0.9723042845726013,23.0,7.607426988767573e-06,20,4
3,2026-07-06T14:27:14.835115,56.5,56.55,-115.28902246966027,25.19964219914982,1575.0620811089175,215.78564120194642,0.9790247082710266,0.9733994007110596,24.0,7.616433116467523e-06,20,4
4,2026-07-06T14:27:15.271809,57.0,57.05,-116.75546834914712,27.873888335889205,1576.3013755058637,216.90210845408728,0.9783056974411011,0.9728225469589233,24.0,7.612299806211136e-06,20,4
5,2026-07-06T14:27:15.686099,57.5,57.55,-121.80949041649001,25.44372178177582,1577.7749075667816,218.6756221955875,0.9794813990592957,0.9720363616943359,24.0,7.604387236613418e-06,20,4
6,2026-07-06T14:27:16.097639,58.0,58.04,-113.5501522818231,26.18422774132341,1575.427019452618,220.39520222286228,0.9799056053161621,0.9726465344429016,25.0,7.630629171720913e-06,20,4
7,2026-07-06T14:27:16.510977,58.5,58.55,-116.40430869156262,25.83385543723125,1575.9041556689772,224.3992884081672,0.977722704410553,0.9745931029319763,24.0,7.622824765733119e-06,20,4
8,2026-07-06T14:27:16.964299,59.0,59.05,-93.52302885061363,27.679412023280747,1574.9719291340443,224.4914087667712,0.9803951978683472,0.9757448434829712,25.0,7.717460965617706e-06,20,4
9,2026-07-06T14:27:17.377884,59.5,59.55,-99.68997507938184,30.155245079949964,1573.2527427835157,230.54143300192663,0.9785823822021484,0.9715954065322876,26.0,7.703069537456707e-06,20,4
10,2026-07-06T14:27:17.790135,60.0,60.05,-86.3868504727725,30.309960041195154,1571.2390862268512,231.03510364162503,0.9782356023788452,0.9719077348709106,27.0,7.77457215244015e-06,20,4
11,2026-07-06T14:27:18.219045,60.5,60.55,-77.15906754252501,29.326949206006248,1573.4735954381176,232.57123030518414,0.9790489077568054,0.9719001054763794,27.0,7.790711971256512e-06,20,4
12,2026-07-06T14:27:18.672283,61.0,61.05,-72.07473236572696,28.969097043736838,1570.110414995579,234.29356606968213,0.9789825677871704,0.9731136560440063,27.0,7.811206594598264e-06,20,4
13,2026-07-06T14:27:19.101547,61.5,61.55,-66.77663071575807,32.283461569750216,1573.4117881889688,236.2233694794122,0.9792412519454956,0.973149299621582,29.0,7.861432846802876e-06,20,4
14,2026-07-06T14:27:19.514944,62.0,62.05,-64.93697928090114,31.977181061229203,1572.2524101714953,239.89637352118734,0.9792967438697815,0.9735682010650635,29.0,7.863332011473592e-06,20,4
15,2026-07-06T14:27:19.927369,62.5,62.55,-59.20937630085973,34.48647664132295,1570.543065739621,242.6591969258152,0.9799156785011292,0.9722900390625,29.0,7.892415310939119e-06,20,4
16,2026-07-06T14:27:20.364715,63.0,63.05,-48.382478427665774,38.01539499399951,1576.0722556395922,244.88110848120414,0.9807043671607971,0.973701000213623,30.0,7.9206181929944e-06,20,4
17,2026-07-06T14:27:20.778203,63.5,63.55,-60.50732853298541,34.841966743115336,1573.6204368644394,246.16606938070618,0.9809544086456299,0.9735463261604309,29.0,7.895896159801501e-06,20,4
18,2026-07-06T14:27:21.190812,64.0,64.05,-50.63430941576371,35.86906937387539,1568.772307735344,251.05238515418023,0.980296790599823,0.9737648963928223,30.0,7.928845880536286e-06,20,4
19,2026-07-06T14:27:21.604871,64.5,64.55,-52.340898110414855,35.8147419829038,1569.0959100206965,253.17194075556472,0.9803805351257324,0.9716137051582336,29.0,7.922427273049901e-06,20,4
20,2026-07-06T14:27:22.018023,65.0,65.05,-51.52086944814073,36.92294202337507,1573.642482762225,252.82038742123405,0.9809058904647827,0.9751191735267639,31.0,7.936266471602958e-06,20,4
21,2026-07-06T14:27:22.430017,64.5,64.56,-45.37163867295021,40.08574100211263,1570.2202508077607,256.2831680805539,0.9796873927116394,0.9716824889183044,30.0,7.946122539946282e-06,20,4
22,2026-07-06T14:27:22.869069,64.0,64.05,-54.895860193064436,38.746846388385165,1568.9675714014447,256.766996801598,0.9799306988716125,0.9719570875167847,30.0,7.914699823157926e-06,20,4
23,2026-07-06T14:27:23.282050,63.5,63.55,-54.88641195115633,36.965459111961536,1573.0429130778066,256.5701584285125,0.9801883101463318,0.9720013737678528,30.0,7.908820609729465e-06,20,4
24,2026-07-06T14:27:23.695004,63.0,63.05,-61.20492372720037,36.44619948376203,1578.0579611472785,255.84539953881176,0.9822497367858887,0.96974778175354,30.0,7.895695033132247e-06,20,4
25,2026-07-06T14:27:24.090697,62.5,62.55,-62.29777037457097,37.12607922439929,1571.8977074231952,253.08218245743774,0.9803777933120728,0.9751957654953003,29.0,7.882175822603754e-06,20,4
26,2026-07-06T14:27:24.521123,62.0,62.05,-61.93558776809368,37.135921143053565,1574.4018852055888,253.6711228697095,0.9800240397453308,0.9711072444915771,30.0,7.887134564235064e-06,20,4
27,2026-07-06T14:27:24.932484,61.5,61.55,-64.46811027621152,36.79932752507739,1570.237178907846,248.39546079427237,0.9799512624740601,0.976127028465271,29.0,7.86968200362383e-06,20,4
28,2026-07-06T14:27:25.369633,61.0,61.05,-60.48134586773813,36.15842178231105,1570.8524956621113,251.2330827806727,0.9794059991836548,0.9734283089637756,29.0,7.876452217447124e-06,20,4
29,2026-07-06T14:27:25.782722,60.5,60.55,-65.37474782264326,36.04346817242913,1574.8770530382171,250.00914177682716,0.9795154929161072,0.9727321863174438,30.0,7.856400553267101e-06,20,4
30,2026-07-06T14:27:26.196346,60.0,60.05,-83.43270016950555,33.46803489897866,1574.7652488423046,247.7860491911997,0.9805279970169067,0.972798764705658,28.0,7.788454075361091e-06,20,4
31,2026-07-06T14:27:26.608446,59.5,59.55,-78.95305247482611,32.24724330910249,1570.0706536442158,246.5211658057524,0.9797175526618958,0.9718629717826843,27.0,7.792094400186387e-06,20,4
32,2026-07-06T14:27:27.021747,59.0,59.05,-97.58419816411333,30.481603102525696,1572.4827110680053,242.19465836533345,0.9793298840522766,0.9751812815666199,25.0,7.7131712037073e-06,20,4
33,2026-07-06T14:27:27.476869,58.5,58.55,-95.88941977184732,30.965431823569816,1565.5685663750046,242.47849929932272,0.9815245866775513,0.972369909286499,25.0,7.712168570175647e-06,20,4
34,2026-07-06T14:27:27.887215,58.0,58.05,-103.55430601979606,29.613545877218712,1572.2508354645106,242.02892045519548,0.9786069989204407,0.9728243350982666,25.0,7.677724848007211e-06,20,4
35,2026-07-06T14:27:28.301562,57.5,57.55,-102.69333497592015,30.519002393411938,1575.452214764373,241.82814531464828,0.9804335832595825,0.9727182984352112,25.0,7.681205466595621e-06,20,4
36,2026-07-06T14:27:28.713668,57.0,57.05,-107.17377002409194,25.9511711075902,1570.6434533098945,239.88692527927924,0.9792628288269043,0.9722461104393005,25.0,7.655031655690814e-06,20,4
37,2026-07-06T14:27:29.128943,56.5,56.55,-115.48979761020746,27.856172882311512,1569.1029962021275,236.4379233060754,0.9784033298492432,0.972170889377594,24.0,7.637086399300237e-06,20,4
38,2026-07-06T14:27:29.580352,56.0,56.05,-115.13863795262296,28.991142941522412,1572.500426521583,236.75719514722005,0.9796461462974548,0.9723305106163025,24.0,7.638649560741189e-06,20,4
39,2026-07-06T14:27:30.010778,55.5,55.55,-107.92333054880146,27.516036173619796,1568.795534663368,233.01214826089563,0.9789233207702637,0.9726199507713318,24.0,7.651704037066644e-06,20,4
40,2026-07-06T14:27:30.422177,55.0,55.05,-117.28535724949325,27.679018346534576,1572.3571281859768,233.63061442913022,0.980175256729126,0.9749325513839722,24.0,7.632412242111986e-06,20,4
41,2026-07-06T14:27:30.875527,55.5,55.55,-117.19992939557415,26.259419999842066,1573.6326408435707,231.97205429751193,0.9797175526618958,0.9720621109008789,25.0,7.6304951231167e-06,20,4
42,2026-07-06T14:27:31.288332,56.0,56.05,-125.33171626448166,26.294457230251282,1570.8060418060631,232.8538902089349,0.9775881171226501,0.9726852774620056,24.0,7.599085610963751e-06,20,4
43,2026-07-06T14:27:31.701619,56.5,56.55,-124.21957945654867,25.560250098642427,1572.2413872226025,232.99718854454113,0.9784933924674988,0.9721678495407104,23.0,7.596516254253281e-06,20,4
44,2026-07-06T14:27:32.116082,57.0,57.05,-122.87832278234418,25.629537205968518,1571.5071800909936,234.65496132266708,0.9782781600952148,0.9731821417808533,23.0,7.5968965977245066e-06,20,4
45,2026-07-06T14:27:32.569083,57.5,57.55,-121.05796150804963,26.38697126560146,1571.146572191501,235.10965796449455,0.9779573678970337,0.9729613065719604,23.0,7.596763141706352e-06,20,4
46,2026-07-06T14:27:32.981562,58.0,58.05,-121.66973517159931,24.175295305612963,1574.2314231744967,235.48640661058016,0.9776920676231384,0.9699870347976685,23.0,7.590079995353119e-06,20,4
47,2026-07-06T14:27:33.410231,58.5,58.55,-125.35651789949043,26.00864791253116,1573.237389390415,236.4851645156159,0.9773608446121216,0.9732121229171753,23.0,7.585387968287837e-06,20,4
48,2026-07-06T14:27:33.822870,59.0,59.05,-122.79368228191743,27.655004065018147,1574.8172141727991,239.7192189854104,0.9777340292930603,0.9725804924964905,23.0,7.584315341266772e-06,20,4
49,2026-07-06T14:27:34.275968,59.5,59.55,-116.09999656677246,29.30805272219004,1577.54066990281,238.9924917119788,0.9792101979255676,0.9743734002113342,25.0,7.631071548823038e-06,20,4
50,2026-07-06T14:27:34.689466,60.0,60.05,-122.57597904128488,27.816411530948244,1571.1725548567483,240.0203816962312,0.9802300333976746,0.9700949192047119,23.0,7.6082288841157915e-06,20,4
51,2026-07-06T14:27:35.101653,60.5,60.55,-111.3073758588871,27.064488945761696,1577.2887167852605,240.5384602941922,0.9793090224266052,0.97179114818573,24.0,7.646208233240534e-06,20,4
52,2026-07-06T14:27:35.515438,61.0,61.05,-107.32809130859096,30.08398958889302,1581.5872731767013,241.23487445816863,0.9802022576332092,0.9729977250099182,25.0,7.668107393656847e-06,20,4
53,2026-07-06T14:27:35.928378,61.5,61.55,-107.74499498278601,27.621147864847444,1575.9939139671042,240.2128896251088,0.9792720079421997,0.974720299243927,25.0,7.664107604425668e-06,20,4
54,2026-07-06T14:27:36.367125,62.0,62.05,-113.53597991896095,26.656639836728573,1573.184243029682,242.13481949991547,0.9787284135818481,0.9745532274246216,23.0,7.624545737898266e-06,20,4
55,2026-07-06T14:27:36.778585,62.5,62.55,-120.19344737345818,29.73519199178554,1579.4066976796603,246.22315250890097,0.9787688851356506,0.9730492830276489,24.0,7.608810311098787e-06,20,4
56,2026-07-06T14:27:37.191216,63.0,63.05,-118.57937271415722,28.849812989647035,1575.2069541515084,246.00387456128374,0.9786356091499329,0.9739022850990295,23.0,7.604560904011676e-06,20,4
57,2026-07-06T14:27:37.604618,63.5,63.55,-122.6665246929042,28.15261147217825,1574.353856642556,247.42071717075305,0.9786490201950073,0.972932755947113,23.0,7.591513508196982e-06,20,4
58,2026-07-06T14:27:38.017366,64.0,64.05,-117.38102069881279,28.464797131891828,1573.1373954968876,249.95520806260174,0.9786744117736816,0.9715721011161804,23.0,7.606645222178609e-06,20,4
59,2026-07-06T14:27:38.431097,64.5,64.56,-137.32940878078807,25.266173569252715,1578.5114767588675,249.230449172901,0.9782229661941528,0.9712325930595398,23.0,7.541150211590622e-06,20,4
60,2026-07-06T14:27:38.869332,65.0,65.05,-130.11449505371274,28.525817027548328,1580.5152913968777,252.21727464610012,0.9795066118240356,0.9709705710411072,22.0,7.553958439070586e-06,20,4
61,2026-07-06T14:27:39.282428,64.5,64.56,-140.61936534853885,28.12820351391565,1579.3074911396252,253.10540938546183,0.9772557020187378,0.9711028337478638,22.0,7.513928889987401e-06,20,4
62,2026-07-06T14:27:39.695840,64.0,64.05,-142.52200506278314,28.878945068863686,1575.8454978337977,249.21312739606947,0.9784818887710571,0.9741618633270264,22.0,7.510662608299797e-06,20,4
63,2026-07-06T14:27:40.108401,63.5,63.55,-141.6941028655856,23.9103508554399,1570.9316246880917,248.75882443098817,0.977022647857666,0.9728502035140991,21.0,7.510616428640469e-06,20,4
64,2026-07-06T14:27:40.520746,63.0,63.05,-142.5023212254746,24.354024548374582,1575.8832908014301,249.95127129514003,0.976094663143158,0.9707874655723572,21.0,7.505927373444688e-06,20,4
65,2026-07-06T14:27:40.974019,62.5,62.55,-135.38267727097264,25.100435659114737,1576.7915030548465,247.6356646741624,0.9793882966041565,0.9718421101570129,22.0,7.53138629467816e-06,20,4
66,2026-07-06T14:27:41.403720,62.0,62.05,-122.2149774650461,28.606127083767205,1572.7319084483315,250.27211784326937,0.9778996706008911,0.9723108410835266,24.0,7.58889338489446e-06,20,4
