sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW,points_per_ramp,n_cycles
0,2026-07-06T14:37:24.136855,115.0,115.23,-127.77448047447251,3.8832274242304265,1885.9415213786997,33.95343832700746,0.9802000522613525,0.9710965156555176,22.0,7.469222131528046e-06,20,4
1,2026-07-06T14:37:24.566226,115.5,115.73,-116.47753256635042,-2.458117603091523,1887.4119040256483,34.304204307845794,0.9802447557449341,0.9716262817382812,22.0,7.495307050236985e-06,20,4
2,2026-07-06T14:37:25.019133,116.0,116.23,-121.91066534025595,0.8826232649153098,1884.7321464144625,33.66959739301819,0.9794902801513672,0.9727492928504944,21.0,7.475930192223781e-06,20,4
3,2026-07-06T14:37:25.432548,116.5,116.73,-116.50587729207473,1.1574096337426454,1891.330562357034,33.22513634659117,0.9797381162643433,0.971987247467041,22.0,7.4863455122914155e-06,20,4
4,2026-07-06T14:37:25.844870,117.0,117.23,-116.66964681848185,1.8861052909051068,1892.1068929004832,33.97390951780835,0.9802932143211365,0.9714783430099487,22.0,7.490035419981407e-06,20,4
5,2026-07-06T14:37:26.257547,117.5,117.73,-118.09869340708246,1.9274413492530584,1893.681599885167,33.26607872819295,0.9801182150840759,0.9717022776603699,22.0,7.480666215149207e-06,20,4
6,2026-07-06T14:37:26.697051,118.0,118.23,-123.33026368694846,2.067196594143752,1893.9965412821039,33.5298421481275,0.980000913143158,0.971199095249176,22.0,7.4706984381788814e-06,20,4
7,2026-07-06T14:37:27.109442,118.5,118.74,-120.54618173802737,0.017321776831522584,1895.2763843839057,34.296724449668545,0.9800459146499634,0.9720758199691772,22.0,7.481224751164204e-06,20,4
8,2026-07-06T14:37:27.537393,119.0,119.24,-119.50372571416665,0.28305358049692586,1897.8801623830805,33.780220558692235,0.9792234301567078,0.9707415103912354,22.0,7.475056884547347e-06,20,4
9,2026-07-06T14:37:27.952127,119.5,119.74,-120.84498238837114,-2.580157394404523,1898.7651477084728,33.76289878186071,0.9792791604995728,0.9711363315582275,22.0,7.47451850508935e-06,20,4
10,2026-07-06T14:37:28.364593,120.0,120.23,-115.539400880225,-1.431014972331468,1897.494359171833,33.77313437726116,0.9799870252609253,0.9724593758583069,21.0,7.486213998343615e-06,20,4
11,2026-07-06T14:37:28.801742,120.5,120.74,-118.31993973843055,2.7490447185118683,1901.4122301497264,33.848720312525984,0.9795172810554504,0.9710264205932617,22.0,7.474656379061668e-06,20,4
12,2026-07-06T14:37:29.215398,121.0,121.24,-125.06598446081625,1.3542480068281293,1898.3139941573609,34.475453692430165,0.9787102341651917,0.9730164408683777,21.0,7.461379637027253e-06,20,4
13,2026-07-06T14:37:29.628641,121.5,121.74,-123.36963136156555,3.498998919967562,1901.0716997642885,34.01721395988716,0.978572428226471,0.9719368815422058,22.0,7.46989135439015e-06,20,4
14,2026-07-06T14:37:30.057580,122.0,122.24,-131.1061667773174,4.000149417843204,1905.4281266374164,33.9908376178937,0.9796810746192932,0.9722331166267395,22.0,7.449866902076941e-06,20,4
15,2026-07-06T14:37:30.510742,122.5,122.74,-123.5412744228961,0.623190289188642,1904.5679429470329,33.94438376184553,0.9786965250968933,0.9727466106414795,22.0,7.460999524804092e-06,20,4
16,2026-07-06T14:37:30.924133,123.0,123.24,-123.4015191780054,2.1203429548768327,1904.418345783488,34.08571371372091,0.9787835478782654,0.9715321063995361,21.0,7.465962168016582e-06,20,4
17,2026-07-06T14:37:31.336618,123.5,123.74,-130.40699687611777,3.2332671163021587,1903.7679917988135,33.92824301525252,0.9785908460617065,0.9720966219902039,21.0,7.446739663541338e-06,20,4
18,2026-07-06T14:37:31.749852,124.0,124.24,-128.84016342635732,2.0734954220824875,1908.6086410697317,34.105791227775626,0.9794522523880005,0.971220850944519,22.0,7.449173300729643e-06,20,4
19,2026-07-06T14:37:32.162222,124.5,124.74,-126.45487602130743,1.2747253041015938,1903.5302110441262,34.33963521500118,0.9788172841072083,0.971747636795044,21.0,7.459990355279332e-06,20,4
20,2026-07-06T14:37:32.615136,125.0,125.25,-129.4641410690383,1.7538299041916616,1905.3127793507883,32.974364259280264,0.9801602363586426,0.9729485511779785,21.0,7.4487741820584845e-06,20,4
21,2026-07-06T14:37:33.029116,124.5,124.74,-122.98697756428737,1.7585540251457132,1905.1387742289808,34.17783407232491,0.9789994359016418,0.9723102450370789,21.0,7.460082092322641e-06,20,4
22,2026-07-06T14:37:33.457741,124.0,124.24,-127.6756676111836,2.203802425065078,1902.9574113784474,33.52078758296557,0.9786353707313538,0.9735960960388184,21.0,7.454272123226895e-06,20,4
23,2026-07-06T14:37:33.894593,123.5,123.74,-117.87114824779565,-3.085244659741875,1904.7175401105778,34.447108966705855,0.9778794646263123,0.9737493395805359,21.0,7.472686992207836e-06,20,4
24,2026-07-06T14:37:34.308770,123.0,123.24,-120.98631234024651,0.9093932836549357,1908.4606186131714,33.24836327461526,0.9794743061065674,0.9720991253852844,22.0,7.463568936024442e-06,20,4
25,2026-07-06T14:37:34.721975,122.5,122.73,-117.6873012073338,1.6321837896248326,1906.0635209057364,34.04280294838827,0.9799579381942749,0.972399115562439,21.0,7.471321855260878e-06,20,4
26,2026-07-06T14:37:35.133934,122.0,122.23,-123.50426880875602,-0.10511169122764841,1906.2091813018196,32.57281397818588,0.9783445000648499,0.9714774489402771,21.0,7.4588502890178515e-06,20,4
27,2026-07-06T14:37:35.546992,121.5,121.74,-121.63706000166712,1.2648833854473196,1905.6765366642503,34.84472248033853,0.9790434241294861,0.9713470935821533,21.0,7.461917070110356e-06,20,4
28,2026-07-06T14:37:35.960315,121.0,121.24,-127.93628161714878,2.3408019327325746,1904.9557145420113,34.16877950716298,0.9801958799362183,0.9724789261817932,22.0,7.450848523776223e-06,20,4
29,2026-07-06T14:37:36.398419,120.5,120.73,-122.40748539392371,0.7149169710464776,1905.0324815075146,32.40313930058619,0.9789614081382751,0.9722740650177002,21.0,7.462336556974567e-06,20,4
30,2026-07-06T14:37:36.810951,120.0,120.23,-127.14892812480684,1.9975158100714907,1902.6487688094494,35.28839617327321,0.9802618026733398,0.9729517102241516,21.0,7.453532283069789e-06,20,4
31,2026-07-06T14:37:37.240536,119.5,119.74,-122.6991998628364,-0.02007751405471936,1903.516038681264,34.60812275588978,0.9786751866340637,0.9727395176887512,21.0,7.461307545289961e-06,20,4
32,2026-07-06T14:37:37.652336,119.0,119.23,-124.46287168568233,0.28305358049692586,1904.1856828265009,33.66959739301819,0.9806115031242371,0.972375214099884,22.0,7.4584965107777415e-06,20,4
33,2026-07-06T14:37:38.065553,118.5,118.73,-129.29958418913884,2.592361373535823,1904.4679490535054,34.11996359063778,0.9791375398635864,0.9717110395431519,22.0,7.448146104179531e-06,20,4
34,2026-07-06T14:37:38.504470,118.0,118.23,-123.37002503831172,2.5242552964482456,1902.542082411237,33.524330673681106,0.9799050092697144,0.9740697145462036,21.0,7.4588502890178515e-06,20,4
35,2026-07-06T14:37:38.916679,117.5,117.73,-128.1827232602518,2.9147826286498457,1900.861082705087,33.662511211587116,0.9794089198112488,0.9738526940345764,21.0,7.4520986426128505e-06,20,4
36,2026-07-06T14:37:39.330419,117.0,117.23,-128.62521592294797,-2.644326704030391,1902.1432878673659,34.14358419540804,0.978608250617981,0.9710714817047119,22.0,7.45234738237016e-06,20,4
37,2026-07-06T14:37:39.744102,116.5,116.73,-130.56604228157084,1.1168609288870357,1902.7519121169462,34.060124725219794,0.9792783260345459,0.9712076783180237,22.0,7.445954788902766e-06,20,4
38,2026-07-06T14:37:40.156810,116.0,116.23,-123.58575989521341,1.4723510306794196,1899.796974460187,34.8478718943079,0.979341447353363,0.9725582599639893,21.0,7.460999524804092e-06,20,4
39,2026-07-06T14:37:40.609619,115.5,115.73,-123.48104188073194,0.6814544476219453,1895.926344691834,32.446443742665,0.9788602590560913,0.971154510974884,21.0,7.461065060012736e-06,20,4
40,2026-07-06T14:37:41.023354,115.0,115.23,-117.81209673587,-0.09960021678125486,1897.061708427791,33.20584618602879,0.9791468977928162,0.9720296859741211,21.0,7.471079044528267e-06,20,4
41,2026-07-06T14:37:41.436140,115.5,115.73,-119.13327589601977,-0.02677001873962581,1897.9683459742228,33.0633352039149,0.979089617729187,0.9720545411109924,21.0,7.470298166214074e-06,20,4
42,2026-07-06T14:37:41.863293,116.0,116.23,-128.1217033645953,-1.6581664548721164,1897.8222919013933,34.362074789532926,0.9797435402870178,0.9738991856575012,21.0,7.4524586633706225e-06,20,4
43,2026-07-06T14:37:42.302055,116.5,116.73,-129.864116643148,-0.562564070278313,1901.0213091407786,32.37951869581593,0.9799785017967224,0.9717336297035217,22.0,7.451791002292328e-06,20,4
44,2026-07-06T14:37:42.715585,117.0,117.23,-123.3743554825196,1.1467803615960293,1900.791795597761,33.20899559999816,0.9800555109977722,0.9729775190353394,22.0,7.462716737314911e-06,20,4
45,2026-07-06T14:37:43.127630,117.5,117.73,-123.66764465841698,2.2049834553035907,1900.9492662962293,34.15185140707763,0.9798721075057983,0.9712399840354919,22.0,7.464172089299417e-06,20,4
46,2026-07-06T14:37:43.541260,118.0,118.23,-128.41420518700033,2.4427642099908553,1904.248277429142,34.94511005061213,0.9798020720481873,0.9714475870132446,22.0,7.455588303584993e-06,20,4
47,2026-07-06T14:37:43.954597,118.5,118.73,-128.20555651152972,2.0742827755748294,1904.784858834173,32.36928310041549,0.9793174266815186,0.9726913571357727,22.0,7.4571077658574415e-06,20,4
48,2026-07-06T14:37:44.407952,119.0,119.23,-113.94028593727853,2.0994780873297714,1899.8068163788412,33.433785022061784,0.979398250579834,0.972296953201294,21.0,7.485628789290949e-06,20,4
49,2026-07-06T14:37:44.821355,119.5,119.74,-124.4971215625992,0.47871092334389687,1903.048744383559,32.91531274735462,0.9794778823852539,0.971892774105072,22.0,7.465647397799334e-06,20,4
50,2026-07-06T14:37:45.234423,120.0,120.23,-118.86045791092329,1.0865478194318712,1903.3192003081786,33.54086509702029,0.979332685470581,0.9719787836074829,22.0,7.478386506561015e-06,20,4
51,2026-07-06T14:37:45.647164,120.5,120.73,-121.58273261069553,3.1769713415997103,1901.0331194431637,33.372765126405284,0.9790021777153015,0.971884548664093,22.0,7.472148783437685e-06,20,4
52,2026-07-06T14:37:46.059753,121.0,121.24,-118.68960220308509,-0.12873229599790648,1904.2006425428553,34.67662250972353,0.9792271256446838,0.9723485112190247,22.0,7.4799763164661735e-06,20,4
53,2026-07-06T14:37:46.499196,121.5,121.74,-113.510784607206,2.545907517487649,1905.127751280088,33.32985436107265,0.9800717234611511,0.9711679816246033,22.0,7.492983390284238e-06,20,4
54,2026-07-06T14:37:46.910653,122.0,122.23,-117.7455653657671,2.6144072713213973,1907.460286001151,33.982964082970284,0.9793701171875,0.9733030200004578,22.0,7.48227622620793e-06,20,4
55,2026-07-06T14:37:47.324368,122.5,122.74,-123.70346924231853,2.13963311543921,1908.1354416208342,35.58680314687081,0.9811592102050781,0.9721646904945374,22.0,7.47275263007573e-06,20,4
56,2026-07-06T14:37:47.751602,123.0,123.24,-94.08834865811514,0.5913024727487937,1907.9378158942563,34.028236908779945,0.980669379234314,0.9719693064689636,24.0,7.570970169799135e-06,20,4
57,2026-07-06T14:37:48.165045,123.5,123.74,-117.69911150971893,-0.5062682955758646,1907.2217178929714,33.743608621298335,0.9806943535804749,0.9728019833564758,22.0,7.48656909130499e-06,20,4
58,2026-07-06T14:37:48.618414,124.0,124.24,-113.43047455098713,1.35857845103601,1908.5862014952,35.268318659218494,0.9808330535888672,0.9710023403167725,22.0,7.496360504526961e-06,20,4
59,2026-07-06T14:37:49.032695,124.5,124.75,-81.62808596505783,4.494213734287769,1909.1672683725483,35.36909990623826,0.98203444480896,0.9747433066368103,25.0,7.628055849918934e-06,20,4
60,2026-07-06T14:37:49.444289,125.0,125.25,-114.62095303140813,2.898248205310665,1909.0818405186292,35.03841143945465,0.9802048206329346,0.9723807573318481,22.0,7.4934309514737085e-06,20,4
61,2026-07-06T14:37:49.857891,124.5,124.74,-114.87211879546521,0.22045897785574198,1910.7557540433481,36.363133690319955,0.9802520871162415,0.9730691909790039,22.0,7.495998362915544e-06,20,4
62,2026-07-06T14:37:50.295735,124.0,124.24,-70.50868626945885,1.7774505089619197,1909.4534713670146,36.22141006169841,0.980587899684906,0.9742082357406616,26.0,7.66176526283249e-06,20,4
63,2026-07-06T14:37:50.708306,123.5,123.74,-96.75905170413898,4.835531473217998,1901.6401689857594,35.4702748300042,0.9798500537872314,0.9762649536132812,23.0,7.553845642463398e-06,20,4
64,2026-07-06T14:37:51.120865,123.0,123.24,-86.13292897149222,1.7176116435439326,1905.8733750373358,35.32461443392094,0.980923056602478,0.9724351167678833,24.0,7.605349136667605e-06,20,4
65,2026-07-06T14:37:51.535810,122.5,122.74,-61.93480041460134,2.886044226179365,1906.650099257531,34.138466397707816,0.9810498952865601,0.9736780524253845,26.0,7.684451417689783e-06,20,4
66,2026-07-06T14:37:51.948803,122.0,122.23,-77.09371720266063,2.9553313335054554,1904.5895951680723,35.74781693605473,0.981749951839447,0.9749456644058228,25.0,7.637086399300237e-06,20,4
67,2026-07-06T14:37:52.362117,121.5,121.74,-66.15698351728497,2.473470996192191,1907.7956985888886,35.5584584211465,0.9801283478736877,0.9727618098258972,26.0,7.679309817824872e-06,20,4
68,2026-07-06T14:37:52.798965,121.0,121.24,-67.4624156075879,3.853701668267604,1903.4617112902924,35.61554154934129,0.980431079864502,0.9727453589439392,26.0,7.673652639090307e-06,20,4
69,2026-07-06T14:37:53.211159,120.5,120.74,-69.4949686480686,2.6250365434680134,1905.4104111838387,36.23164565709885,0.9814366698265076,0.9724701642990112,27.0,7.665225180539082e-06,20,4
70,2026-07-06T14:37:53.624667,120.0,120.23,-87.41355942678638,2.7372344161267392,1904.2813462758204,33.34599510766566,0.9812543392181396,0.9746185541152954,25.0,7.6066184965360265e-06,20,4
