sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW,points_per_ramp,n_cycles
0,2026-07-14T17:23:34.854658,55.0,55.09,-587.3129526030971,23.224959640356246,-1082.5059402789338,213.99362465337617,0.9728648066520691,0.9634796977043152,30.0,7.443901425012769e-06,20,4
1,2026-07-14T17:23:35.299132,55.5,55.59,-586.1122385272756,30.070210902777035,-1083.9324279686844,227.51957029831829,0.9706146717071533,0.9641079902648926,31.0,7.434374432094747e-06,20,4
2,2026-07-14T17:23:35.770171,56.0,56.09,-594.7798194477218,32.81531885382719,-1084.760723842628,226.15193728212034,0.9707810282707214,0.9663218855857849,30.0,7.420967169291364e-06,20,4
3,2026-07-14T17:23:36.216848,56.5,56.59,-591.9906197011005,27.495958659565076,-1085.4484771181887,231.08077014418086,0.9689067006111145,0.9644297957420349,32.0,7.425277035795581e-06,20,4
4,2026-07-14T17:23:36.655940,57.0,57.09,-601.3093419597135,30.497350172372535,-1084.307208231039,230.65205616760068,0.9708359837532043,0.9668044447898865,30.0,7.411241682492328e-06,20,4
5,2026-07-14T17:23:37.102109,57.5,57.59,-600.352707466518,28.132927634869702,-1086.8816573126242,237.10323700710433,0.9712769389152527,0.9650622010231018,31.0,7.41296046539339e-06,20,4
6,2026-07-14T17:23:37.525936,58.0,58.1,-607.0530856863479,27.812081086740363,-1086.413969338173,233.62116618722212,0.9709726572036743,0.966603696346283,31.0,7.395842528609488e-06,20,4
7,2026-07-14T17:23:37.949195,58.5,58.59,-619.2968261690112,32.974757936026435,-1086.22047721743,237.3193655407522,0.9707435965538025,0.963887095451355,31.0,7.3839314925477415e-06,20,4
8,2026-07-14T17:23:38.412314,59.0,59.09,-601.0865209213807,26.707424136984628,-1085.737042173132,239.23224085039692,0.9694955348968506,0.9644579887390137,32.0,7.407642644742822e-06,20,4
9,2026-07-14T17:23:38.835254,59.5,59.59,-604.4804081501206,29.84109103650553,-1087.4898878854583,242.8694203082705,0.9699675440788269,0.9657178521156311,31.0,7.400404309664657e-06,20,4
10,2026-07-14T17:23:39.259485,60.0,60.1,-612.9846132209059,26.776317567564547,-1086.671630768542,242.62967116985237,0.9708148241043091,0.9660863280296326,31.0,7.384216873179015e-06,20,4
11,2026-07-14T17:23:39.706683,60.5,60.59,-612.8783204994397,34.28333944029873,-1085.6427565924241,244.76576119457604,0.9697290062904358,0.9652493596076965,31.0,7.381668295918446e-06,20,4
12,2026-07-14T17:23:40.144788,61.0,61.1,-614.1459596221102,32.17126369709149,-1087.125540056877,244.77835885045351,0.969545304775238,0.9641991257667542,32.0,7.380909729105635e-06,20,4
13,2026-07-14T17:23:40.568334,61.5,61.6,-611.1985018235282,33.9542256804998,-1087.4436308677832,249.322569531505,0.9670211672782898,0.9640917181968689,31.0,7.393874423632924e-06,20,4
14,2026-07-14T17:23:41.030777,62.0,62.1,-599.113806746318,32.1236288108048,-1087.3359602777055,250.51659110264154,0.9689962267875671,0.9633601903915405,32.0,7.412335407313755e-06,20,4
15,2026-07-14T17:23:41.437975,62.5,62.59,-626.7873136184062,36.24227492924547,-1090.2696393901715,252.48654954048106,0.9689642190933228,0.9641005992889404,31.0,7.356838254870823e-06,20,4
16,2026-07-14T17:23:41.861678,63.0,63.09,-634.7128138723201,30.839061588048935,-1089.3620176518743,254.69389505626168,0.9676992893218994,0.96302729845047,32.0,7.340410832199867e-06,20,4
17,2026-07-14T17:23:42.308605,63.5,63.6,-619.3452484087902,32.701939950929955,-1088.8596861237602,255.03718117892276,0.9696465730667114,0.9610657095909119,32.0,7.371702928609947e-06,20,4
18,2026-07-14T17:23:42.731833,64.0,64.1,-618.9358245927724,29.637953835481312,-1088.3876677051012,259.68847193493275,0.967725396156311,0.9628636837005615,32.0,7.3724864521367125e-06,20,4
19,2026-07-14T17:23:43.170755,64.5,64.6,-610.0946322272648,34.31562093348475,-1088.5687590083398,260.01010583655443,0.9691216349601746,0.9631021022796631,32.0,7.3903682081424424e-06,20,4
20,2026-07-14T17:23:43.617491,65.0,65.09,-620.1940154735348,32.50431422435213,-1092.7131909536547,261.6907118659583,0.9692698121070862,0.9616605043411255,31.0,7.367475928789044e-06,20,4
21,2026-07-14T17:23:44.041158,64.5,64.59,-625.2267789965845,29.615120584203396,-1090.7115415377484,262.1461958612781,0.9687991142272949,0.96176677942276,31.0,7.363742909309802e-06,20,4
22,2026-07-14T17:23:44.464017,64.0,64.1,-613.6011110054096,34.93015033425763,-1090.0607938763278,261.2198744775378,0.9675397872924805,0.9617748856544495,33.0,7.386610613081494e-06,20,4
