sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW,points_per_ramp,n_cycles
0,2026-07-14T17:46:23.051960,95.0,95.09,-511.13728957250714,49.0560593403643,-1064.8735524946824,413.8444122005603,0.9268088340759277,0.9658182859420776,36.0,7.551968158087775e-06,20,4
1,2026-07-14T17:46:23.507335,95.5,95.6,-504.017251941259,45.05630359926727,-1070.979478827794,417.7937773181475,0.9366330504417419,0.9671612977981567,34.0,7.526175228152065e-06,20,4
2,2026-07-14T17:46:23.952636,96.0,96.1,-506.40883817424765,48.23406229435932,-1067.5962208712008,417.4123045511078,0.9250882267951965,0.9668835401535034,36.0,7.524099741947621e-06,20,4
3,2026-07-14T17:46:24.360867,96.5,96.59,-511.3916047505336,47.26601117552491,-1070.9897144231945,422.4387692462187,0.9353654980659485,0.9669840335845947,38.0,7.555995702973326e-06,20,4
4,2026-07-14T17:46:24.784485,97.0,97.09,-515.4071075614775,51.37127228459576,-1070.299992763903,422.6793057381292,0.9341134428977966,0.9673294425010681,37.0,7.556978032986978e-06,20,4
5,2026-07-14T17:46:25.208021,97.5,97.6,-507.1552492849878,47.74275371513795,-1069.3819385918323,424.05323758226587,0.9243631362915039,0.968466579914093,37.0,7.5469881205092e-06,20,4
6,2026-07-14T17:46:25.654553,98.0,98.1,-515.7669281074777,51.24135895835934,-1069.744908551802,425.88422812870704,0.9246644377708435,0.9694213271141052,38.0,7.570790619589674e-06,20,4
7,2026-07-14T17:46:26.063200,98.5,98.59,-512.5202759818058,49.367851323331706,-1071.3578021808644,429.1407221730333,0.9227783679962158,0.9708529710769653,38.0,7.570990120085264e-06,20,4
8,2026-07-14T17:46:26.470038,99.0,99.09,-509.8700441265828,49.23006446217187,-1073.436415400647,427.80970109422924,0.9338156580924988,0.9694352746009827,36.0,7.551590063987523e-06,20,4
9,2026-07-14T17:46:26.877832,99.5,99.59,-504.15228306519566,51.32127533783205,-1072.63725160592,432.5428766134428,0.9341856241226196,0.9708697199821472,38.0,7.592093657777478e-06,20,4
10,2026-07-14T17:46:27.286470,100.0,100.09,-513.7516968438285,51.861399833578616,-1071.6384937008843,433.7156396402861,0.92325359582901,0.9716441631317139,37.0,7.5546949759684856e-06,20,4
11,2026-07-14T17:46:27.693508,100.5,100.59,-518.5655760960071,52.73418117983965,-1070.9936511906562,436.80521474423585,0.9229328036308289,0.9721292853355408,39.0,7.550117667390242e-06,20,4
12,2026-07-14T17:46:28.116847,101.0,101.09,-515.9452636734932,53.17982325650519,-1070.9452289508772,438.10710374382325,0.9229723811149597,0.9730590581893921,37.0,7.573138408455198e-06,20,4
13,2026-07-14T17:46:28.564792,101.5,101.58,-508.8949068263173,53.731758054636884,-1073.4537371774786,438.8483970568632,0.9229903817176819,0.9743702411651611,37.0,7.569048538679132e-06,20,4
14,2026-07-14T17:46:28.987386,102.0,102.09,-508.606341771374,50.38314365170663,-1074.465486415138,439.21924055175623,0.9318623542785645,0.972551167011261,37.0,7.574029827725027e-06,20,4
15,2026-07-14T17:46:29.395560,102.5,102.59,-509.1677248114138,52.69166409125319,-1078.6876695178216,441.3419455671101,0.9331891536712646,0.9737871289253235,38.0,7.589206685360416e-06,20,4
16,2026-07-14T17:46:29.843226,103.0,103.08,-513.2249573574518,52.239329509902745,-1072.2270404364099,442.51392124046106,0.9214693903923035,0.9739303588867188,40.0,7.572134024404686e-06,20,4
17,2026-07-14T17:46:30.266015,103.5,103.59,-508.91734640084906,56.237116867268924,-1071.0011310488335,444.4161672779592,0.9216389656066895,0.9751064777374268,38.0,7.578368678748274e-06,20,4
