sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW,points_per_ramp,n_cycles
0,2026-07-14T17:50:59.879887,35.0,35.11,-490.2637611370301,3.072253327118233,-996.3135661187698,61.71394775999943,0.9787508845329285,0.9736523628234863,24.0,7.526915667479157e-06,20,4
1,2026-07-14T17:51:00.459343,35.5,35.61,-498.3219304544036,4.610742051154375,-993.0133739556186,60.39158756961115,0.9790289998054504,0.9736701250076294,24.0,7.511691828670295e-06,20,4
2,2026-07-14T17:51:00.935472,36.0,36.11,-492.77581245434703,4.456420766655356,-990.5796643107897,60.56244327744935,0.9784518480300903,0.9732862114906311,24.0,7.525190292310654e-06,20,4
3,2026-07-14T17:51:01.415374,36.5,36.62,-498.72544911922887,6.148443421698175,-989.8718335211743,59.80185980384704,0.9788181185722351,0.9741429686546326,24.0,7.511691828670295e-06,20,4
4,2026-07-14T17:51:01.924779,37.0,37.11,-486.8710549385287,4.713098005158827,-987.1881391425268,60.073496758705005,0.9789636731147766,0.9735013842582703,24.0,7.533371151420499e-06,20,4
5,2026-07-14T17:51:02.466373,37.5,37.61,-495.31660217413446,2.4163878679974005,-985.4965101642301,59.723518131359015,0.9785574078559875,0.9729142785072327,25.0,7.516008172418897e-06,20,4
6,2026-07-14T17:51:02.973702,38.0,38.12,-504.261331523885,2.9183257193653844,-983.223420631839,58.54288156959228,0.9791437387466431,0.9730058312416077,24.0,7.5014520915499845e-06,20,4
7,2026-07-14T17:51:03.485121,38.5,38.62,-498.46404775977135,2.5774016571813263,-984.1387190666865,60.29631779703777,0.9784187078475952,0.9728918075561523,24.0,7.499574454663675e-06,20,4
8,2026-07-14T17:51:04.017222,39.0,39.11,-496.5232214011485,3.6489897602587007,-983.5537154218764,58.214948840031866,0.9779248237609863,0.9722713828086853,24.0,7.508987128135035e-06,20,4
9,2026-07-14T17:51:04.511104,39.5,39.62,-493.96629093476804,3.142721464682836,-980.9652908158023,59.50699592096498,0.9775360822677612,0.9726249575614929,23.0,7.509950153730395e-06,20,4
10,2026-07-14T17:51:05.034785,40.0,40.12,-500.65249679173576,4.7402617006446235,-977.2977982484736,58.94797494140221,0.9773737788200378,0.9726707339286804,24.0,7.49942294656889e-06,20,4
11,2026-07-14T17:51:05.530016,40.5,40.62,-500.0989872866194,3.768273814348504,-976.6935044431011,58.66098459344357,0.9777113795280457,0.9725996851921082,25.0,7.4974338633367025e-06,20,4
12,2026-07-14T17:51:06.123795,41.0,41.12,-493.4056952482206,4.011959720228333,-975.4841294788639,58.609019262949005,0.9780125021934509,0.97361159324646,24.0,7.50827483250016e-06,20,4
13,2026-07-14T17:51:06.634590,41.5,41.62,-489.13194049178855,3.324993798159994,-974.3322313195677,58.65862253296655,0.9783400893211365,0.9733069539070129,24.0,7.5192437554854265e-06,20,4
14,2026-07-14T17:51:07.111721,42.0,42.12,-492.43410103867063,2.959268100967165,-971.2528918110183,59.9786206628778,0.9785100817680359,0.972809910774231,24.0,7.521258444161196e-06,20,4
15,2026-07-14T17:51:07.621166,42.5,42.62,-489.250437192386,6.694473068637308,-971.0446368122939,58.2117994260625,0.9794696569442749,0.974547803401947,24.0,7.515961959892118e-06,20,4
16,2026-07-14T17:51:08.114537,43.0,43.12,-487.13166894449387,4.8500975128263235,-972.2193682228681,60.45260746526765,0.9786633849143982,0.9734422564506531,24.0,7.518239915415817e-06,20,4
17,2026-07-14T17:51:08.609839,43.5,43.62,-497.7715703632566,3.095086578396149,-969.2400226078462,58.527921853237785,0.9785999655723572,0.972331166267395,25.0,7.499087004755093e-06,20,4
18,2026-07-14T17:51:09.118911,44.0,44.12,-488.63039631716674,5.173306121432688,-967.1204670064617,59.417237622838,0.9785701632499695,0.9735652804374695,24.0,7.517057933486077e-06,20,4
19,2026-07-14T17:51:09.613288,44.5,44.62,-491.12512585765216,3.7470152700552717,-963.8419270643499,58.50036448100582,0.9790757894515991,0.9726877808570862,24.0,7.513321716041823e-06,20,4
20,2026-07-14T17:51:10.083933,45.0,45.12,-489.64293290831847,6.021679509431124,-964.3914998020045,57.564201178611256,0.979542076587677,0.9741747379302979,24.0,7.50921138333838e-06,20,4
21,2026-07-14T17:51:10.616046,44.5,44.62,-500.1355992240133,4.268243281985633,-964.5631428633351,59.08812386303907,0.9783952832221985,0.9733628034591675,24.0,7.498349302995048e-06,20,4
22,2026-07-14T17:51:11.111304,44.0,44.12,-488.36702657397836,2.7470763347810134,-964.6749470592476,57.88426037324825,0.9791134595870972,0.9734824895858765,24.0,7.5190456185400754e-06,20,4
23,2026-07-14T17:51:11.579937,43.5,43.62,-490.09487381292274,4.221789425937459,-965.4123036048259,59.503846506995615,0.978940486907959,0.9714633822441101,24.0,7.5126288057303585e-06,20,4
24,2026-07-14T17:51:12.112630,43.0,43.12,-490.422412865737,6.4153562556020916,-965.5741047475021,58.06574535323307,0.9791280627250671,0.9737619757652283,24.0,7.515915747649464e-06,20,4
25,2026-07-14T17:51:12.622157,42.5,42.62,-486.3746285616071,3.5552946946700104,-964.9446156303748,59.496366648818366,0.9783087372779846,0.9728327393531799,24.0,7.524027044209622e-06,20,4
26,2026-07-14T17:51:13.115506,42.0,42.12,-490.31060866982443,3.8588194659678265,-966.5996326712775,59.63612189370906,0.9792160987854004,0.9736507534980774,25.0,7.516476915533449e-06,20,4
27,2026-07-14T17:51:13.610766,41.5,41.62,-497.36687066819286,2.64393302728422,-968.033009704086,58.947187587909866,0.9788472652435303,0.9727818965911865,24.0,7.501834264692049e-06,20,4
28,2026-07-14T17:51:14.119550,41.0,41.12,-500.0230076746084,3.70567921170732,-967.602327343775,60.203410084941424,0.9780271649360657,0.9728417992591858,24.0,7.4960905427567645e-06,20,4
29,2026-07-14T17:51:14.629524,40.5,40.62,-493.69347294967156,3.7836272074491717,-969.2128589123604,58.71019418671494,0.9778160452842712,0.9740111231803894,24.0,7.51021401791277e-06,20,4
30,2026-07-14T17:51:15.084017,40.0,40.12,-492.9265906481305,4.777660991530865,-969.2171893565683,59.90342840435915,0.9766327738761902,0.9721840620040894,24.0,7.5117116227518904e-06,20,4
31,2026-07-14T17:51:15.577340,39.5,39.61,-490.482251731155,4.707586530712433,-968.905791050347,60.01326421654085,0.9783225059509277,0.9747507572174072,24.0,7.5105306671692955e-06,20,4
32,2026-07-14T17:51:16.070718,39.0,39.11,-488.1697945241467,4.394219840760343,-970.3143664481468,58.98222481831908,0.9778763651847839,0.9717917442321777,24.0,7.5123648567067235e-06,20,4
33,2026-07-14T17:51:16.565999,38.5,38.62,-494.9618994258344,4.155651732580736,-970.9115740720881,60.23372319439659,0.9789421558380127,0.9725252985954285,24.0,7.5015443384568334e-06,20,4
34,2026-07-14T17:51:17.028216,38.0,38.12,-489.7240303180297,1.8211486277868971,-971.4568163655349,59.06214119779179,0.9784780740737915,0.974358081817627,24.0,7.491193412825898e-06,20,4
35,2026-07-14T17:51:17.520675,37.5,37.61,-488.5835487843724,6.651562303304672,-971.0462115192786,54.52698508190224,0.978222131729126,0.9723647832870483,22.0,7.4449280361662295e-06,20,4
36,2026-07-14T17:51:17.976278,37.0,37.11,-486.58130885334685,1.3416503509506583,-970.8611834485782,54.252986066567246,0.9784995317459106,0.9738544225692749,23.0,7.452301561264718e-06,20,4
37,2026-07-14T17:51:18.471100,36.5,36.61,-484.2279092647368,4.156832762819249,-972.4351030797698,56.28435807680944,0.9778761267662048,0.9732261300086975,22.0,7.450115567342149e-06,20,4
38,2026-07-14T17:51:18.964348,36.0,36.11,-492.9509986063931,2.2179747879272327,-972.8169695235556,55.35567463259213,0.9783018231391907,0.9729945659637451,23.0,7.429772132852575e-06,20,4
39,2026-07-14T17:51:19.425560,35.5,35.61,-492.55574715323746,3.401367086917162,-972.8921617820743,56.24774613941554,0.9782178401947021,0.9740071892738342,23.0,7.432970591974724e-06,20,4
40,2026-07-14T17:51:19.919468,35.0,35.11,-492.50023873202736,0.7975890877423808,-974.4440355154802,58.100388906896114,0.9781166315078735,0.9725641012191772,23.0,7.471505609168928e-06,20,4
41,2026-07-14T17:51:20.413598,35.5,35.61,-490.3515510514262,3.3686919169849716,-975.5203477395116,57.05596449930454,0.9774384498596191,0.97178715467453,24.0,7.467280412453801e-06,20,4
42,2026-07-14T17:51:20.868739,36.0,36.11,-487.541880114004,4.171398802427575,-974.4928514320054,56.58906387834577,0.9777182340621948,0.9733076691627502,24.0,7.465201496042042e-06,20,4
43,2026-07-14T17:51:21.332241,36.5,36.62,-496.69014034152497,3.8607878496986814,-973.8361986193922,57.61144238815177,0.9782697558403015,0.9732969999313354,23.0,7.452929989559821e-06,20,4
44,2026-07-14T17:51:21.810177,37.0,37.11,-481.89891763438936,-2.0971160268527456,-972.292985774402,57.35712721012533,0.9776003360748291,0.9733400344848633,22.0,7.436614595719765e-06,20,4
45,2026-07-14T17:51:22.318711,37.5,37.61,-484.25192354625324,6.46338481863495,-973.188600371941,54.09709007508354,0.9774618744850159,0.9716722369194031,22.0,7.430039706253095e-06,20,4
46,2026-07-14T17:51:22.774766,38.0,38.12,-488.2650642967201,6.371264460030943,-971.5229540588916,55.84383379784413,0.9765674471855164,0.9730952382087708,22.0,7.422975086219602e-06,20,4
47,2026-07-14T17:51:23.267137,38.5,38.62,-483.66180210374296,1.6809997061500326,-970.6076556240441,53.85576622968074,0.978277325630188,0.9715936183929443,23.0,7.427220880352351e-06,20,4
48,2026-07-14T17:51:23.746373,39.0,39.11,-491.8164222239284,4.082427857792936,-968.6262805605656,54.71083212236408,0.9764873385429382,0.9712235331535339,22.0,7.399331843282679e-06,20,4
49,2026-07-14T17:51:24.223597,39.5,39.62,-488.72133564553224,2.33883354900172,-969.6777911495883,54.44116355123697,0.9774655103683472,0.9726283550262451,23.0,7.409412658227046e-06,20,4
50,2026-07-14T17:51:24.678818,40.0,40.12,-487.0647438976448,3.2942870119586587,-968.9738971274346,57.010691673494875,0.9772611260414124,0.9729558229446411,22.0,7.413878615010094e-06,20,4
51,2026-07-14T17:51:25.172793,40.5,40.62,-486.8005868009641,5.5969023003126495,-968.2865375286201,56.60481094819261,0.977020263671875,0.9730292558670044,23.0,7.445372726975461e-06,20,4
52,2026-07-14T17:51:25.666816,41.0,41.12,-491.37747265194776,1.1093810707097873,-969.403004780761,56.29656205594074,0.9783050417900085,0.9716782569885254,23.0,7.429569827654295e-06,20,4
53,2026-07-14T17:51:26.128084,41.5,41.62,-486.63563624431845,2.223879939119797,-966.5834919246845,55.53558490559226,0.9783074855804443,0.9731985926628113,23.0,7.435693630433534e-06,20,4
54,2026-07-14T17:51:26.623353,42.0,42.12,-483.6846353550209,2.289623955730349,-967.9900989387534,56.30128617689479,0.9773101210594177,0.9738824367523193,23.0,7.436209618210142e-06,20,4
