sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW,points_per_ramp,n_cycles
0,2026-07-15T11:23:11.960020,95.0,95.09,-471.17870615940774,148.2964555756189,-895.5149973221705,1568.21958558372,0.9747252464294434,0.9666962027549744,17.0,7.263471830857222e-06,20,4
1,2026-07-15T11:23:12.610053,95.5,95.59,-467.1545424600481,148.6409227285185,-890.4058605103637,1568.763253170182,0.9731565117835999,0.9690471291542053,19.0,7.272326270064787e-06,20,4
2,2026-07-15T11:23:13.181515,96.0,96.09,-474.5651135299704,151.94583901262376,-893.4226054162718,1576.645055305271,0.9738426804542542,0.9694386720657349,17.0,7.258465264671478e-06,20,4
3,2026-07-15T11:23:13.760999,96.5,96.59,-472.8065595048247,152.20684669533512,-895.5500345525797,1575.9073050829466,0.973416268825531,0.9709010720252991,17.0,7.262757307082494e-06,20,4
4,2026-07-15T11:23:14.310173,97.0,97.09,-476.59018671227386,149.39560105092824,-890.908585715224,1580.1790914556477,0.9733797311782837,0.9677947163581848,18.0,7.250353670949859e-06,20,4
5,2026-07-15T11:23:14.865751,97.5,97.6,-474.73006408661604,148.856263908674,-898.1427896028617,1579.7495901255752,0.9728754162788391,0.971344530582428,17.0,7.251850415358303e-06,20,4
6,2026-07-15T11:23:15.415510,98.0,98.1,-471.34798716026125,150.31208051601425,-891.2810039171018,1582.3954915365903,0.9718484878540039,0.9701893925666809,18.0,7.262872136519891e-06,20,4
7,2026-07-15T11:23:15.970790,98.5,98.59,-468.89616838510847,148.22559376130812,-895.4835031824769,1586.4901233735145,0.9733030200004578,0.969566822052002,18.0,7.264881945590056e-06,20,4
8,2026-07-15T11:23:16.520294,99.0,99.09,-468.4607619038434,149.62275253346888,-893.5430705006002,1585.9393696056213,0.9731450080871582,0.9706880450248718,18.0,7.261392251751231e-06,20,4
9,2026-07-15T11:23:17.044443,99.5,99.59,-473.53643619222566,150.45419782138197,-890.9995250435895,1589.9017260558321,0.9738039374351501,0.9668775796890259,18.0,7.2549786530922186e-06,20,4
10,2026-07-15T11:23:17.608645,100.0,100.09,-464.8735793927335,147.6453142374521,-896.2165292838472,1593.774324207916,0.9740421175956726,0.9695636034011841,17.0,7.268884078111726e-06,20,4
11,2026-07-15T11:23:18.148234,100.5,100.59,-467.79820394003764,150.09516462887404,-893.1265605031513,1590.4556292376947,0.9726453423500061,0.9698383808135986,18.0,7.271029668799232e-06,20,4
12,2026-07-15T11:23:18.713055,101.0,101.09,-472.08849311980885,151.22777262760792,-891.1310130768106,1592.1968614860089,0.9721340537071228,0.9699962735176086,18.0,7.2619089013931324e-06,20,4
13,2026-07-15T11:23:19.253198,101.5,101.58,-466.38096765382215,151.34548197471304,-894.8410227327258,1594.3353135712096,0.974306046962738,0.9708539247512817,18.0,7.2679647330740455e-06,20,4
14,2026-07-15T11:23:19.816070,102.0,102.09,-472.94395268923836,149.97194380732253,-893.498978705029,1595.3529679600615,0.973380982875824,0.9696199297904968,18.0,7.254691894898313e-06,20,4
15,2026-07-15T11:23:20.357632,102.5,102.59,-470.3669447088032,149.41410385799827,-895.3858713494265,1597.619758664514,0.9713783860206604,0.9716024398803711,18.0,7.258911569886068e-06,20,4
16,2026-07-15T11:23:20.905380,103.0,103.09,-474.66195800952846,153.59258884185692,-892.4655772463302,1600.118031295715,0.9719738364219666,0.9712759852409363,18.0,7.258197494714287e-06,20,4
