sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW,points_per_ramp,n_cycles
0,2026-07-15T11:25:50.192244,15.0,15.08,-464.38896331819706,116.65783651609672,-875.8689529812546,1236.5831451953272,0.9736648797988892,0.9675391316413879,17.0,7.26432041914296e-06,20,4
1,2026-07-15T11:25:50.716958,15.5,15.58,-475.1725567493122,118.40891068306519,-877.7932449165382,1232.7755037063616,0.9723264575004578,0.9716113805770874,17.0,7.251156142300777e-06,20,4
2,2026-07-15T11:25:51.195127,16.0,16.07,-468.9406538574258,116.19644736958435,-875.2957596388296,1230.3099062450929,0.974777102470398,0.9683948159217834,18.0,7.267294450621458e-06,20,4
3,2026-07-15T11:25:51.689523,16.5,16.58,-470.2787611176609,116.44918784062611,-871.0893236059928,1229.5300326109282,0.9733831882476807,0.9674005508422852,18.0,7.264862801928382e-06,20,4
4,2026-07-15T11:25:52.158902,17.0,17.08,-465.754234273918,116.02559166174615,-872.019975433941,1226.105832272733,0.9731100797653198,0.9687244296073914,17.0,7.262444725034132e-06,20,4
5,2026-07-15T11:25:52.652229,17.5,17.58,-477.06338616117137,119.91629894415382,-858.0979909823509,1226.3396762599587,0.9742762446403503,0.9697366952896118,18.0,7.244293423742743e-06,20,4
6,2026-07-15T11:25:53.129787,18.0,18.08,-467.8974104800727,116.66571005102014,-870.0228533006157,1227.031366302981,0.9727303385734558,0.9677867293357849,17.0,7.258758547863977e-06,20,4
7,2026-07-15T11:25:53.592715,18.5,18.58,-466.1128737896797,114.3406551881344,-867.5056841855985,1226.7609103783616,0.9727880358695984,0.9717034101486206,17.0,7.262246975992343e-06,20,4
8,2026-07-15T11:25:54.047427,19.0,19.08,-467.02935325476574,117.35976215451956,-860.2895894282847,1224.332712207979,0.973760724067688,0.9691897034645081,18.0,7.262336281344445e-06,20,4
9,2026-07-15T11:25:54.510906,19.5,19.58,-468.1434584464296,115.96457176608965,-865.7790179768926,1221.7084630180034,0.9739441275596619,0.9666799306869507,17.0,7.2687053074694505e-06,20,4
10,2026-07-15T11:25:54.988227,20.0,20.09,-464.9656997513375,115.78859826055123,-861.4564473039354,1226.0637088608928,0.974769115447998,0.9688666462898254,17.0,7.275565589579457e-06,20,4
11,2026-07-15T11:25:55.443676,20.5,20.59,-465.3365432462306,112.33959628734738,-863.0890247703064,1220.8640263974667,0.9748162031173706,0.9674786925315857,17.0,7.2714511985265936e-06,20,4
12,2026-07-15T11:25:55.904608,21.0,21.08,-468.5961867045262,114.40364346752176,-863.4480579628143,1219.5511144489865,0.9735813736915588,0.9694684147834778,17.0,7.265264829417518e-06,20,4
13,2026-07-15T11:25:56.360284,21.5,21.58,-471.2468122364953,114.32766385551076,-861.5009327762527,1221.3573033604189,0.973781943321228,0.9681992530822754,17.0,7.253506747936423e-06,20,4
14,2026-07-15T11:25:56.855063,22.0,22.09,-470.82085399713833,114.0532711634296,-860.53681842488,1221.6923222714104,0.9738244414329529,0.9674342274665833,17.0,7.252430088733449e-06,20,4
15,2026-07-15T11:25:57.331724,22.5,22.59,-469.6469099400565,114.45954556547804,-856.9878225581488,1225.0952640653122,0.9735102653503418,0.969239354133606,17.0,7.254691894898313e-06,20,4
16,2026-07-15T11:25:57.795143,23.0,23.09,-467.921031084843,113.28245209442684,-853.1971091692685,1223.837466861296,0.9728315472602844,0.9692473411560059,18.0,7.262425587794753e-06,20,4
17,2026-07-15T11:25:58.250271,23.5,23.59,-466.5061568591045,115.01384242408676,-855.8158468847978,1217.2988897841424,0.9733754992485046,0.9672272801399231,17.0,7.257795858300051e-06,20,4
18,2026-07-15T11:25:58.744023,24.0,24.09,-456.19773126061773,117.27748371456983,-843.8362634988152,1221.2604588808608,0.9742688536643982,0.9703896641731262,18.0,7.2891775318214665e-06,20,4
19,2026-07-15T11:25:59.204736,24.5,24.59,-466.6978774344898,111.47153906204039,-852.5943900708808,1220.4120854928624,0.9741196632385254,0.9704483151435852,18.0,7.268903232369877e-06,20,4
20,2026-07-15T11:25:59.700132,25.0,25.09,-473.19078800908756,116.41690634744009,-851.8286887995782,1221.6411442944082,0.9741418361663818,0.9683762192726135,18.0,7.259249504945983e-06,20,4
21,2026-07-15T11:26:00.153815,24.5,24.59,-461.848960951902,114.20365568046691,-843.8815363246249,1223.4315861359937,0.9752829670906067,0.9689025282859802,18.0,7.277150634267143e-06,20,4
22,2026-07-15T11:26:00.648680,24.0,24.09,-469.3488966432051,115.8716640539933,-849.7614922054345,1221.3124242113554,0.9746113419532776,0.9690340161323547,17.0,7.266113627178505e-06,20,4
23,2026-07-15T11:26:01.141552,23.5,23.59,-464.3968368531205,115.53310205228627,-849.3008904124144,1220.8506413880968,0.9728959202766418,0.969143807888031,17.0,7.273731714774215e-06,20,4
24,2026-07-15T11:26:01.605085,23.0,23.09,-469.8772108365665,114.19578214554349,-852.7865043230122,1219.4920629370608,0.9739844799041748,0.9676198363304138,17.0,7.264167283099225e-06,20,4
25,2026-07-15T11:26:02.060087,22.5,22.59,-458.7802507154993,112.68170137976995,-851.2956504852627,1220.5762486960157,0.9742973446846008,0.9670592546463013,17.0,7.269956794301642e-06,20,4
26,2026-07-15T11:26:02.551597,22.0,22.09,-470.3791486879345,113.32851227372885,-851.5653190563899,1219.2149145077565,0.973691463470459,0.9687122106552124,17.0,7.253239160902449e-06,20,4
27,2026-07-15T11:26:03.030741,21.5,21.58,-464.8452346670092,111.75223058206029,-844.1460870980518,1221.1077123033465,0.9744848608970642,0.9708966016769409,18.0,7.2625340328180095e-06,20,4
28,2026-07-15T11:26:03.493890,21.0,21.08,-468.16668537445366,113.28638886188855,-855.4768912063446,1218.3748083314276,0.97422194480896,0.968965470790863,17.0,7.25415027145619e-06,20,4
